[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 23:20:47] CPU 6.9% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:20:58] CPU 9.8% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:21:09] CPU 5.4% | GPU 98.0% 显存 24059MiB  <== ALERT GPU 98.0%
[2026-08-16 23:21:20] CPU 9.2% | GPU 98.0% 显存 24059MiB  <== ALERT GPU 98.0%
[2026-08-16 23:21:31] CPU 5.8% | GPU 100.0% 显存 24059MiB  <== ALERT GPU 100.0%
[2026-08-16 23:21:42] CPU 5.7% | GPU 100.0% 显存 24060MiB  <== ALERT GPU 100.0%
[2026-08-16 23:21:53] CPU 10.8% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:22:04] CPU 9.0% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:22:15] CPU 5.9% | GPU 97.0% 显存 24061MiB  <== ALERT GPU 97.0%
[2026-08-16 23:22:26] CPU 7.9% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:22:37] CPU 9.0% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:22:48] CPU 6.0% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:22:59] CPU 8.3% | GPU 98.0% 显存 24061MiB  <== ALERT GPU 98.0%
[2026-08-16 23:23:10] CPU 6.5% | GPU 100.0% 显存 24060MiB  <== ALERT GPU 100.0%
[2026-08-16 23:23:22] CPU 6.8% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:23:33] CPU 7.7% | GPU 99.0% 显存 24050MiB  <== ALERT GPU 99.0%
[2026-08-16 23:23:44] CPU 6.6% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:23:55] CPU 5.9% | GPU 99.0% 显存 24055MiB  <== ALERT GPU 99.0%
[2026-08-16 23:24:06] CPU 8.5% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:24:17] CPU 10.9% | GPU 93.0% 显存 24053MiB
[2026-08-16 23:24:50] CPU 9.9% | GPU 99.0% 显存 24057MiB  <== ALERT GPU 99.0%
[2026-08-16 23:25:01] CPU 6.2% | GPU 99.0% 显存 24054MiB  <== ALERT GPU 99.0%
[2026-08-16 23:25:23] CPU 8.1% | GPU 98.0% 显存 24053MiB  <== ALERT GPU 98.0%
[2026-08-16 23:25:34] CPU 7.2% | GPU 98.0% 显存 24055MiB  <== ALERT GPU 98.0%
[2026-08-16 23:25:45] CPU 10.7% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:25:56] CPU 7.6% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:26:18] CPU 6.0% | GPU 99.0% 显存 24054MiB  <== ALERT GPU 99.0%
[2026-08-16 23:26:29] CPU 8.4% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:26:40] CPU 9.0% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:26:51] CPU 15.7% | GPU 99.0% 显存 24061MiB  <== ALERT GPU 99.0%
[2026-08-16 23:27:02] CPU 7.0% | GPU 99.0% 显存 24057MiB  <== ALERT GPU 99.0%
